STATION,NAME,DATE,TMAX,TMIN,WDFG,WSFG
SPW00013025,"ROTA NAS, SP",3/30/1970,68,49,180,19.5
SPW00013025,"ROTA NAS, SP",3/31/1970,66,52,270,13.9
SPW00013025,"ROTA NAS, SP",4/1/1970,65,46,270,17.2
SPW00013025,"ROTA NAS, SP",4/2/1970,59,52,293,19.5
SPW00013025,"ROTA NAS, SP",4/3/1970,60,54,135,16.1
SPW00013025,"ROTA NAS, SP",4/4/1970,70,53,113,17.2
SPW00013025,"ROTA NAS, SP",4/5/1970,71,47,113,31.1
SPW00013025,"ROTA NAS, SP",4/6/1970,68,56,180,20.8
SPW00013025,"ROTA NAS, SP",4/7/1970,68,52,315,26.4
SPW00013025,"ROTA NAS, SP",4/8/1970,65,52,315,26.4
SPW00013025,"ROTA NAS, SP",4/9/1970,63,50,270,21.9
SPW00013025,"ROTA NAS, SP",4/10/1970,64,48,270,20.8
SPW00013025,"ROTA NAS, SP",4/11/1970,64,45,270,17.2
SPW00013025,"ROTA NAS, SP",4/12/1970,69,53,270,17.2
SPW00013025,"ROTA NAS, SP",4/13/1970,75,56,360,17.2
SPW00013025,"ROTA NAS, SP",4/14/1970,81,51,23,18.3
SPW00013025,"ROTA NAS, SP",4/15/1970,81,50,113,18.3
SPW00013025,"ROTA NAS, SP",4/16/1970,81,52,90,25.3
SPW00013025,"ROTA NAS, SP",4/17/1970,84,50,113,24.2
SPW00013025,"ROTA NAS, SP",4/18/1970,77,50,225,15
SPW00013025,"ROTA NAS, SP",4/19/1970,68,54,315,30
SPW00013025,"ROTA NAS, SP",4/20/1970,70,49,315,32.2
SPW00013025,"ROTA NAS, SP",4/21/1970,73,44,360,20.8
SPW00013025,"ROTA NAS, SP",4/22/1970,80,45,45,18.3
SPW00013025,"ROTA NAS, SP",4/23/1970,77,47,270,13.9
SPW00013025,"ROTA NAS, SP",4/24/1970,79,50,270,15
SPW00013025,"ROTA NAS, SP",4/25/1970,74,52,315,18.3
SPW00013025,"ROTA NAS, SP",4/26/1970,68,54,338,26.4
